,Reward
0,0.019341512361505112
1,-0.0
2,-0.0028633497503731207
3,-0.0
4,0.011831952504478776
5,-0.0
6,0.004730325198672402
7,0.030750437674683793
8,-0.012789798874739428
9,0.024685332191274806
10,0.03418114073401293
11,0.024849274620586587
12,0.01567989832177556
13,0.017401517816733814
14,0.015198573440823957
15,0.017386591380292544
16,0.01522336108210592
17,0.017405271351631002
18,0.015232599674246044
19,0.01740858220490222
20,0.019580410194833846
21,0.021746101503829354
22,0.023902970775815432
23,0.026047370378423775
24,0.028174356145809182
25,0.03027726103117801
26,0.0323471410646818
27,0.03437206589345271
28,0.03633622587694105
29,0.038218809229372167
30,0.03999264584086941
31,0.04162260262210639
32,0.03896244992486245
33,0.04023594555550416
34,0.03728951244386818
35,0.04046341850179532
36,0.0409063536135986
37,0.0407592720806994
38,0.03994702846450198
39,0.03835675769825025
40,0.03301754370235334
41,0.029976254705365028
42,0.02601525706501704
43,0.02117715347721061
44,0.015575951824138012
45,0.008720695681853585
46,0.0026524447968352552
47,-0.0035580978041298665
48,-0.009700799927424682
49,-0.015603826765133548
50,-0.021145814842265936
51,-0.02625676121976176
52,-0.030911117665323104
53,-0.033050579385035826
54,-0.036678659797893226
55,-0.039958261717688216
56,0.012987091103523862
57,-0.00021535081366101606
58,-0.01134075752401495
59,0.05129787184656989
60,0.12748271766911795
61,0.0813082330591093
62,0.04758283774075424
63,0.023459074955822518
64,0.15185989498572267
65,0.09760637709744327
66,0.05844606087348384
67,0.031009110983958012
68,0.01119493784388934
69,-0.003551109820581856
70,-0.014826389907875919
71,-0.02365745433167632
72,-0.030725262164709374
73,0.05705391495817984
74,0.0260504577883856
75,0.003952248045414889
76,0.030458379962021186
77,-0.001872085672685482
78,0.24033249717629102
79,0.13342492622095356
80,0.29599671799851646
81,0.11529681879588873
82,0.044960824173490524
83,0.0107703980843667
84,-0.009153254053132012
85,-0.022168557731486127
86,-0.031358880228875494
87,-0.03822910596500746
88,-0.031985944944931684
89,-0.04265127997048908
90,-0.03307157168690741
91,-0.04680612962409445
92,-0.05256468193687998
93,-0.056122587163727866
94,-0.05877873155308727
95,-0.0609790277842659
96,-0.06292116224977091
97,-0.06470614723469643
98,-0.06628970712687995
99,-0.06886105060891087
100,-0.07012144469865718
101,-0.0733977459089011
102,-0.07483840427454651
103,-0.08374876917830623
104,-0.0804394616052294
105,-0.11150304419641302
106,-0.08677100842837354
107,-0.32517364250740116
108,-0.09352035664550687
109,-0.08639574563194821
110,-0.11141219523273195
111,-0.09265614598387416
112,-0.08873230969949683
113,-0.08791532873656749
114,-0.08812826645767402
115,-0.09385084602087758
116,-0.09351927832387694
117,-0.1083480177202474
118,-0.09991007678800908
119,-0.15081324004715016
120,-0.10708159315163175
121,-0.10093138994001755
122,-0.1230961766090837
123,1.2015622896954965
124,-0.13676502375486763
125,-0.11020048026811763
126,-0.20102942513398062
127,-0.11546530514765652
128,-0.10756633405285032
129,-0.1056058038198168
130,-0.11718993278538432
131,-0.11220516108216826
132,-0.1097815096377501
133,-0.10718544453021452
134,-0.10752147923010434
135,-0.10826559279909741
136,-0.11348980203501015
137,-0.1141843871982756
138,-0.12679502375085377
139,-0.12134938068944526
140,-0.11865420026570746
141,-0.11802606205757905
142,-0.12713343139960057
143,-0.12268752195857212
144,-0.12100370305425436
145,-0.12074627185830933
146,-0.11902413373387184
147,-0.1176799018184247
148,-0.11869554897783838
149,-0.11985301288710673
150,-0.12110895593603793
151,-0.12565290917194855
152,-0.1272529422618424
153,-0.13750998068041642
154,-0.13481445764514657
155,-0.13053297549781867
156,-0.13011757248414574
157,-0.1304433742818255
158,-0.13116916937177237
159,-0.1321369380073056
160,-0.13326279018728482
161,-0.13229330272820625
162,-0.13360434777194152
163,-0.13497326116536176
164,-0.139938561752651
165,-0.14165283508040422
166,-0.1419020202179606
167,-0.14254062328992106
168,-0.14345009710502368
169,-0.14453614029376385
170,-0.14851039531674817
171,-0.14957525233567376
172,-0.16127985043758505
173,-0.15616464167555788
174,-0.15297449254504267
175,-0.151956299865324
176,-0.15193476956912585
177,-0.16171339023380246
178,-0.1603495928400275
179,-0.1843021764083921
180,-0.17061251923588538
181,-0.16483881126228198
182,-0.1604286567650634
183,-0.15992558858585842
184,-0.16015688453783006
185,-0.16080586631367935
186,-0.16171609460629263
187,-0.16946194369099993
188,-0.1700197374328301
189,-0.16926291878677363
190,-0.1693051344964573
191,-0.16747825139209163
192,-0.16831701648384523
193,-0.1742430779599745
194,-0.17458248295091505
195,-0.17366099025374088
196,-0.18743627060307616
197,-0.18363782101127996
198,-0.1780982364754135
199,-0.17702235352734735
200,-0.17691986775956056
201,-0.17735785056443798
202,-0.17812643637885664
203,-0.17911233377191982
204,-0.1802481811060759
205,-0.1814915586766293
206,-0.18281451498618154
207,-0.18419728721777334
208,-0.185626218091273
209,-0.18709093071499394
210,-0.18858378720967223
211,-0.19009904774649453
212,-0.19778865090655826
213,-0.22337851932478336
214,-0.21323945078852688
215,-0.20737641900212406
216,-0.20498605895151212
217,-0.20416196370196346
218,-0.20416045715074518
219,-0.20464374703967306
220,-0.20543624455977522
221,-0.2064378559618611
222,-0.20758649610487848
223,-0.20884229686490124
224,-0.20771956142790854
225,-0.20911361864961123
226,-0.2105538579983278
227,-0.21980634074957758
228,-0.22097762811338972
229,-0.2203291747656449
230,-0.22035623244871466
231,-0.23459407627880713
232,-0.30508501477715066
233,-0.2562153907437739
234,-0.23866474454058972
235,-0.2927677640046113
236,-0.2522120410042571
237,-0.23658426853690856
238,-0.23151772856526034
239,-0.22935420747533197
240,-0.22857901270597403
241,-0.22857452125880962
242,-0.2435136303876403
243,-0.24120523968422516
244,-0.23823148507757716
245,-0.26225783482355225
246,-0.2527729802494608
247,-0.24384930885809086
248,-0.24108105601000293
249,-0.2399644366951041
250,-0.23974843735214646
251,-0.24007624540838657
252,-0.23820857780808902
253,-0.25183237505149436
254,-0.2509475140918991
255,-0.27888486409183183
256,-0.2642932752511568
257,-0.34336217939165214
258,-0.2834573350657969
259,-0.26578832787510265
260,-0.25886054272783593
261,-0.2557588181861537
262,-0.25182765125873924
263,-0.26941487884099136
264,-0.26386781858404285
265,-0.31219727009312004
266,-0.2820896938935832
267,-0.4188363918108798
268,2.4536611892026188
269,-0.43914951021385934
270,-0.30421177244383873
271,-0.2810743813157033
272,-0.36039683982947646
273,2.447271632804586
274,-0.39595906054779423
275,2.4871723455672696
276,-0.4067645008691472
277,-0.3098163537931571
278,-0.28934547961436585
279,-0.281403925931338
280,-0.275123966297063
281,-0.2735255184413266
282,-0.27038772693118485
283,-0.27051998718070824
284,-0.2880301195551263
285,-0.28548754417637223
286,-0.2819948530123509
287,-0.27770045888505335
288,-0.2745218714623717
289,-0.27463156299550306
290,-0.27515917031386955
291,-0.2919193800319821
292,-0.2901901545137626
293,-0.3281663347331048
294,-0.30933785783620543
295,-0.2988541026852962
296,-0.2912669550709164
297,-0.3242917024338724
298,-0.3098743739451784
299,-0.39257121468587036
300,-0.33263983176078826
301,-0.3125772447085352
302,-0.3015089652918706
303,-0.29761428509965343
304,-0.29577975999085104
305,-0.29508331707222357
306,-0.29243325684211613
307,-0.2928885042718602
308,-0.2936496100455002
309,-0.2946273932689061
310,-0.2957633590143154
311,-0.29438866337874803
312,-0.2957312878400933
313,-0.29714194517447234
314,-0.295974249039582
315,-0.294844572070766
316,-0.2963776730005144
317,-0.3118285394452677
318,-0.31203529628740767
319,-0.3101162529205804
320,-0.3092705679368103
321,-0.333324792915463
322,-0.3277133364235949
323,-0.38337868273882747
324,-0.3510533383052932
325,-0.3356300827943879
326,-0.40118659595845463
327,-0.35688716070959076
328,-0.33922346504776874
329,-0.3312661996877808
330,-0.3273088015790847
331,-0.35865919297716903
332,-0.34553797028386424
333,-0.42810473175515107
334,-0.3715845847476992
335,-0.6091310210501945
336,-0.4016000320826943
337,-0.363006943720692
338,-0.34869274575828335
339,-0.3419649076873158
340,-0.38509206665666107
341,-0.3650378849751139
342,-0.3529829641465352
343,-0.41152342174821355
344,-0.3781010538726471
345,-0.3616800549031052
346,-0.35113511691105276
347,-0.34723952031370575
348,-0.3831600025595402
349,-0.36971987322567484
350,-0.3600837458498929
351,-0.35514063394601525
352,-0.34983128518715034
353,-0.3486626511924652
354,-0.34832354915242053
355,-0.3485295979734956
356,-0.34911048046822424
357,-0.36915983320340806
358,-0.3663186113031894
359,-0.36200148681263167
360,-0.3978998939639577
361,-0.3829136782205804
362,-0.4757894995856451
363,-0.4124491247087594
364,-0.6745442705282747
365,-0.44317901702486334
366,-0.3994286956650863
367,-0.38294575115909785
368,-0.4557375709328422
369,-0.41138147038227546
370,-0.39111868164436875
371,-0.3816568255348923
372,-0.3767646681689565
373,-0.37419745053278747
374,-0.3729690777483738
375,-0.369818752026311
376,-0.3699931625290404
377,-0.36780510171218983
378,-0.3686394878568044
379,-0.369672969931463
380,-0.3708555222701357
381,-0.3939395041190085
382,-0.3920611302782051
383,-0.38816853955234826
384,-0.3832326730493517
385,-0.38226971159542983
386,-0.38204292413461927
387,-0.37954502116775424
388,-0.3774093596497582
389,-0.37829473421361476
390,-0.3793657373345036
391,-0.4039403234012587
392,-0.48613511460477177
393,-0.4411314533365719
394,-0.6401875253851946
395,-0.47841840533407337
396,-0.4364331058310242
397,-0.41644427514063026
398,-0.4945637650155168
399,-0.4482640264120205
400,-0.4262022171797953
401,-0.4126940175719884
402,-0.47382527828217447
403,-0.44293755519126815
404,-0.4225160254121151
405,-0.41380150169755336
406,-0.40909897995356165
407,-0.406554253464644
408,-0.4052972348339323
409,-0.40205461666785736
410,-0.4021904068397931
411,-0.40271497833439296
412,-0.43152021844803207
413,-0.42727264909091855
414,-0.4216197857344285
415,-0.4711516586771738
416,-0.4512385716256938
417,-0.5688559576116989
418,3.075684385237991
419,-0.6334540003740843
420,-0.49930302207395166
421,-0.46301148279748067
422,-0.44722490297520445
423,-0.5260927415950601
424,-0.481636398481993
425,-0.4590887559426066
426,-0.5574175289576375
427,-0.495644511461745
428,-0.7548049251162123
429,-0.5390199465570434
430,-0.48724454138663276
431,-0.46651198040102115
432,-0.4561559641660935
433,-0.44757802156650384
434,-0.44444070598445495
435,-0.4427835981694873
436,-0.44207344850105124
437,-0.4391685465070872
438,-0.43955096563615914
439,-0.4402541252308772
440,-0.44119397918806047
441,-0.442311441294067
442,-0.44356434493773517
443,-0.44492125512493763
444,-0.4463591389939842
445,-0.4478602116282901
446,-0.44941099637072873
447,-0.4791546360869865
448,-0.4765382809366822
449,-0.5411409911488065
450,-0.5121084785835759
451,-0.49380983769390663
452,-0.49200428282432884
453,-0.49201941406780664
454,-0.5063859098041271
455,-0.15631059235283723
456,-0.09928318820921392
457,-0.05222502581546745
458,-0.02423816771096595
459,-0.005466859398416948
460,-0.00470379934773487
461,-0.0026292403265023804
462,-0.000501900471037204
463,0.0330093174908018
464,0.03494032775503793
465,-0.013147220303059546
466,-0.0031661824583561256
467,-0.033311727517879704
468,-0.0881174423951617
469,-0.10189884648866082
470,-0.13948940665588258
471,-0.1935743980010594
472,-0.2595730602515871
473,-0.295561081223819
474,-0.3449940949954697
475,-0.4019998882846504
476,-0.4686207373494011
477,-0.5378993354282501
478,-0.6142505920635967
479,-0.6897601890838789
480,-0.7497939242536271
481,-0.8151739327808383
482,-0.8845878566936773
483,-0.9401443224315633
484,-1.0011595400477422
485,-1.0665526208385103
486,-1.121741708029091
487,-1.169840066310464
488,-1.228432768282362
489,-1.2793773034611835
490,-1.3421361393508455
491,-1.4091488837339723
492,-1.4699710795405605
493,-1.535362283257352
494,-1.6029219432791975
495,-1.644427180009117
496,-1.8827832982756396
497,-1.8583235067500203
498,-1.8837069334864054
499,-1.8906754633881193
500,-1.8672174839961766
501,-1.8234406941020103
502,-1.7260731163083287
503,-1.577309630940056
504,-1.38247178072195
505,-1.161388807381344
506,-0.9407626586199785
507,-0.6819291321033937
508,-0.4263824468393976
509,-0.1503100550037194
510,0.13210549144801206
511,0.40727869067613476
512,0.6706138285791741
513,0.9162052804822945
514,1.1470335297298553
515,1.3630873380442194
516,1.5612888624905594
517,1.7433345960381645
518,1.9107565336597778
519,2.0676515380322824
520,2.2297671648915065
521,2.3811287265632255
522,2.526977675600444
523,2.666922326593202
524,2.8093985879341945
525,2.941447109703952
526,3.0461956516783695
527,3.1576406005033064
528,3.260533864544501
529,3.3550149215922707
530,3.4410480376872647
531,3.4991471955917386
532,3.567714803649096
533,3.626999778171322
534,3.6754768910787217
535,3.7122682650152683
536,3.7387216823424207
537,3.7604753002102784
538,3.7685225990979254
539,3.7632110236333496
540,3.7481045022036903
541,3.709911731832754
542,3.657039426518691
543,3.611615891903921
544,3.5520583016363783
545,3.4817597562777274
546,3.4093163153880957
547,3.3347582538668186
548,2.667312570235323
549,2.619840023830891
550,2.567524929556753
551,2.504287007501145
552,2.4213781885690397
553,2.3326418360243335
554,2.249285012798628
555,2.157682205985862
556,2.058000940936634
557,1.9483244952177172
558,1.8197354437337478
559,1.6890610961647046
560,1.5376877022325868
561,1.3823320692262573
562,1.212394784468795
563,1.0230552870814311
564,0.9680332631701193
565,0.7137377718274242
566,0.4322533126115734
567,0.13710265815858275
568,-0.1740907232657796
569,-0.4989136022128982
570,-0.8351704404615143
571,-1.1794159361373389
572,-1.5178365281774011
573,-1.8398705373570237
574,-2.1272696514134184
575,-2.363789003578335
576,-2.53651178054332
577,-2.63421725508112
578,-2.6526208222975995
579,-2.595565953472307
580,-2.472204376989656
581,-2.294588832677793
582,-2.075504378691007
583,-1.825219115724213
584,-1.5465145631815667
585,-1.26520607923506
586,-0.9784350985309958
587,-0.690446964782788
588,-0.40427429047645136
589,-0.12076183983892431
590,0.1577595005579976
591,0.4301226661165576
592,0.6938445579765875
593,0.9506310720088412
594,1.202455223921853
595,1.4502734162077453
596,1.694082223068865
597,1.9344134267275188
598,2.1699171655914204
599,2.3996775156080483
600,2.623338988516898
601,2.8403686753723307
602,3.049816551206374
603,3.2507062623949112
604,3.4419959769759694
605,3.62212320750824
606,3.791455183094254
607,3.9493250585873434
608,1.5602920674837715
609,1.9375344951286682
610,2.2999836793263135
611,2.660985195524639
612,3.0014446969395037
613,3.315543395629627
614,3.5987765018118143
615,3.8472729705244593
616,4.062900704872597
617,4.243150692284274
618,4.370607277743566
619,4.48829563910284
620,4.582486566262541
621,4.659464677168416
622,4.7047585369885345
623,4.766956978928826
624,4.8310157523825
625,4.903311296612516
626,4.988086490902541
627,5.085744372290146
628,5.194983167393799
629,5.314243463131576
630,5.44060028170025
631,5.568345601780397
632,4.164118394705254
633,4.075659312224634
634,3.9897897866739895
635,3.8934192893162978
636,3.7905723535790337
637,3.6666717245696963
638,3.553110497647328
639,3.415427490571226
640,3.274203486191167
641,3.3249613771788917
642,3.228644188237928
643,3.1479846626099954
644,3.071772235559756
645,2.992012249513278
646,2.938056039758255
647,2.903122079822649
648,2.8945032129896546
649,2.9138019732459837
650,2.9659837888622844
651,3.0550317281050376
652,3.169789590063263
653,3.325124076031191
654,3.5300007751598512
655,3.768072374177824
656,4.029528216752764
657,4.285890568179499
658,4.564576411365681
659,4.83643171145249
660,5.090884508480561
661,5.319292293906414
662,5.513461095164041
663,5.667594715910742
664,5.778984610140894
665,5.848028342269833
666,5.87866506479076
667,5.853937897694372
668,5.834571663645286
669,5.811065783387647
670,5.800548946742997
671,5.686719554964177
672,5.755099229298494
673,5.851551154851212
674,5.962304462601901
675,4.366148705925247
676,4.591972925819056
677,4.8341109579138966
678,5.084997068780784
679,5.341000610150724
680,5.5733254649602895
681,5.743782957473757
682,5.8084057948768475
683,5.744005958559139
684,3.1625498771926175
685,3.1786372297008088
686,3.1818292352054223
687,3.2018654498604526
688,3.2229509134233507
689,3.229358450332583
690,3.590295538842467
691,3.5376948019498053
692,3.5261586316776716
693,3.533039599581845
694,3.521268260089297
695,3.67016740755502
696,3.6931002519844296
697,4.071851996649835
698,4.091980330378752
699,3.889305930812607
700,3.9485056489558064
701,4.032694979885482
702,4.420682866992902
703,4.479608304007981
704,4.565559911702103
705,4.788459084054042
706,4.849331887470637
707,4.955587962059316
708,5.0528187468146255
709,5.421775244978062
710,5.399647803427252
711,5.447498558248906
712,3.4223671097309207
713,3.8238549663140664
714,4.203131638124228
715,4.543340027141554
716,4.838132687306876
717,5.2030186345407925
718,5.9513867958114055
719,6.519012220909241
720,7.318830345590373
721,7.622338797757131
722,7.7170128877161055
723,7.692341458147168
724,7.2529475651079505
725,-0.5380565503254787
726,-0.0564793738277217
727,1.3250232565470883
728,5.811206572343658
729,6.920695762566746
730,7.050604519582277
731,-0.12935205289690377
732,0.010267553036849583
733,-0.0552600353548574
734,-0.11689097152419897
735,-0.12702110953253803
736,-0.13456600346131925
737,-0.14332860274774684
738,-0.15335962353262078
739,-0.1536546403318149
740,-0.15528307372830977
741,-0.15535171118455346
742,-0.157413411525123
743,-0.1570550507774794
744,-0.19260067881906717
745,-0.19691711240685197
746,-0.19650406261032682
747,-0.2642721485787753
748,-0.3478472764706253
749,-0.4466200790651107
750,-0.5564360402825871
751,-0.6655391035434555
752,-0.7585533137917417
753,-0.7987162464322001
754,-0.741053888325359
755,-0.5514859425299877
756,-0.30638381139263443
757,-0.5724559753698031
758,-0.2049810986269593
759,0.9662112817468189
760,-0.33851337867444714
761,1.482781407831085
762,-0.5201651937558824
763,0.7461347804664946
764,1.4688379766257826
765,2.964527597673359
766,1.1652095213295797
767,3.383775012870285
768,5.006366988981446
769,2.8356033623783454
770,2.6078337585700506
771,4.291214153189724
772,2.108780303727171
773,-0.3243816624065998
774,2.8349894889427842
775,-0.5311728334144643
776,3.9560245428824063
777,3.0006749394040706
778,2.787932773656588
779,2.707805328813789
